chr3	62439	+	1
chr3	72787	+	1
chr3	161039	+	1
chr3	423545	+	2
chr3	536216	+	1
chr3	654367	+	1
chr3	696958	+	1
chr3	710676	+	1
chr3	857993	+	1
chr3	1010866	+	1
chr3	1024148	+	1
chr3	1123947	+	1
chr3	1194463	+	1
chr3	1272529	+	1
chr3	1453364	+	1
chr3	1560950	+	1
chr3	1604459	+	1
chr3	1618740	+	1
chr3	1756940	+	1
chr3	1859330	+	1
chr3	2010420	+	1
chr3	2050061	+	3
chr3	2104062	+	1
chr3	2191306	+	1
chr3	2225088	+	1
chr3	2347294	+	1
chr3	2423843	+	1
chr3	2500664	+	1
chr3	2594365	+	1
chr3	2860632	+	1
chr3	2956770	+	1
chr3	3000407	+	1
chr3	3077483	+	1
chr3	3126917	+	3
chr3	3126920	+	1
chr3	3126926	+	1
chr3	3126927	+	1
chr3	3126929	+	1
chr3	3126931	+	5
chr3	3126934	+	1
chr3	3126935	+	12
chr3	3126937	+	3
chr3	3126938	+	29
chr3	3126940	+	1
chr3	3126941	+	1
chr3	3126942	+	1
chr3	3126943	+	23
chr3	3126944	+	5
chr3	3126945	+	8
chr3	3126946	+	6
chr3	3126947	+	12
chr3	3126948	+	1
chr3	3126949	+	87
chr3	3126951	+	22
chr3	3126953	+	8
chr3	3126954	+	1
chr3	3126955	+	2
chr3	3126956	+	8
chr3	3126957	+	2
chr3	3126958	+	9
chr3	3126959	+	2
chr3	3126960	+	2
chr3	3126961	+	12
chr3	3126963	+	4
chr3	3126964	+	8
chr3	3126965	+	1
chr3	3126966	+	1
chr3	3126967	+	10
chr3	3126968	+	3
chr3	3126971	+	4
chr3	3126974	+	1
chr3	3126982	+	2
chr3	3126983	+	1
chr3	3126987	+	2
chr3	3126988	+	1
chr3	3126995	+	1
chr3	3126999	+	1
chr3	3127283	+	1
chr3	3127433	+	1
chr3	3127494	+	1
chr3	3129090	+	1
chr3	3130215	+	1
chr3	3131495	+	1
chr3	3131544	+	1
chr3	3135462	+	1
chr3	3135637	+	1
chr3	3135704	+	1
chr3	3135945	+	1
chr3	3136738	+	1
chr3	3137312	+	2
chr3	3137381	+	1
chr3	3138421	+	1
chr3	3141599	+	1
chr3	3145880	+	1
chr3	3146001	+	1
chr3	3146623	+	1
chr3	3147911	+	1
